datetime	laboratory:daune:sbe37_bsh_6966:temperature_0001 [°C]	laboratory:daune:sbe37_bsh_6966:conductivity_0001 [S/m]	laboratory:daune:sbe37_bsh_6966:pressure_0001 [m]	laboratory:daune:sbe37_bsh_6966:salinity_0001 [PSU]
2020-09-19T00:13:08.000	17.7162	4.30121	9.465	32.7703
2020-09-19T00:13:18.000	17.7134	4.30042	9.454	32.7658
2020-09-19T00:13:28.000	17.7164	4.30109	9.466	32.7691
2020-09-19T00:13:38.000	17.7172	4.30117	9.469	32.7691
2020-09-19T00:13:48.000	17.7169	4.30112	9.46	32.769
2020-09-19T00:14:08.000	17.7172	4.3012	9.462	32.7693
2020-09-19T00:14:18.000	17.7171	4.30117	9.457	32.7692
2020-09-19T00:14:28.000	17.7177	4.30122	9.448	32.7692
2020-09-19T00:14:38.000	17.7176	4.3012	9.454	32.7691
2020-09-19T00:14:48.000	17.7164	4.30104	9.453	32.7686
2020-09-19T00:14:58.000	17.7129	4.30045	9.486	32.7665
2020-09-19T00:15:08.000	17.7139	4.30045	9.442	32.7657
2020-09-19T00:15:18.000	17.7131	4.30045	9.456	32.7663
2020-09-19T00:15:28.000	17.7146	4.30068	9.476	32.7671
2020-09-19T00:15:38.000	17.7134	4.30056	9.45	32.767
2020-09-19T00:15:48.000	17.7141	4.30062	9.476	32.767
2020-09-19T00:15:58.000	17.7136	4.3005	9.46	32.7664
2020-09-19T00:16:08.000	17.7138	4.3005	9.435	32.7662
2020-09-19T00:16:18.000	17.7145	4.30068	9.48	32.7671
2020-09-19T00:16:28.000	17.7143	4.30058	9.453	32.7665
2020-09-19T00:16:38.000	17.7143	4.30058	9.45	32.7665
2020-09-19T00:16:48.000	17.7145	4.3006	9.459	32.7665
2020-09-19T00:16:58.000	17.7143	4.3004	9.431	32.765
2020-09-19T00:17:08.000	17.7122	4.30029	9.453	32.7657
2020-09-19T00:17:18.000	17.7136	4.30034	9.444	32.765
2020-09-19T00:17:28.000	17.7127	4.30015	9.445	32.7641
2020-09-19T00:17:38.000	17.7129	4.30045	9.442	32.7665
2020-09-19T00:17:48.000	17.7109	4.29982	9.47	32.7627
